STYLE,BRAND,DESCRIPTION,GROUP,SIZE,RETAIL,
5089,DRI-DUCK, DRI DUCK Horizon Jacket,ALL,4XL, $	97.62 ,
5336,AMERICAN APPAREL,Ladies' American Apparel California Fleece Cropped Sweatshirt,COLORS,ONE SIZE, $	24.62 ,
5336,AMERICAN APPAREL,Ladies' American Apparel California Fleece Cropped Sweatshirt,WHITE,ONE SIZE, $	23.10 ,
5431,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Jogger,COLORS,S-XL, $	38.18 ,
5431,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Jogger,COLORS,2XL, $	40.44 ,
5431,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Jogger,WHITE,S-XL, $	35.92 ,
5431,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Jogger,WHITE,2XL, $	38.18 ,
5454,AMERICAN APPAREL,Unisex American Apparel California Fleece Raglan,COLORS,XS-XL, $	29.02 ,
5454,AMERICAN APPAREL,Unisex American Apparel California Fleece Raglan,COLORS,2XL, $	31.28 ,
5454,AMERICAN APPAREL,Unisex American Apparel California Fleece Raglan,WHITE,XS-XL, $	26.76 ,
5454,AMERICAN APPAREL,Unisex American Apparel California Fleece Raglan,WHITE,2XL, $	29.02 ,
5495,AMERICAN APPAREL,Unisex American Apparel California Fleece Pullover Hoodie,COLORS,XS-XL, $	32.06 ,
5495,AMERICAN APPAREL,Unisex American Apparel California Fleece Pullover Hoodie,COLORS,2XL, $	34.32 ,
5495,AMERICAN APPAREL,Unisex American Apparel California Fleece Pullover Hoodie,WHITE,XS-XL, $	29.78 ,
5495,AMERICAN APPAREL,Unisex American Apparel California Fleece Pullover Hoodie,WHITE,2XL, $	32.06 ,
5497,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Hoodie,COLORS,S-XL, $	39.30 ,
5497,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Hoodie,COLORS,2XL, $	41.58 ,
5497,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Hoodie,WHITE,S-XL, $	37.04 ,
5497,AMERICAN APPAREL,Unisex American Apparel California Fleece Zip Hoodie,WHITE,2XL, $	39.30 ,
6004,COLOR IMAGE APPAREL - BELLA,Ladies' The Favorite T-Shirt,ALL,S-XL, $	15.70 ,
6004,COLOR IMAGE APPAREL - BELLA,Ladies' The Favorite T-Shirt,ALL,2XL, $	20.00 ,
6089,YUPOONG, Yupoong 6-Panel Structured Flat Visor Classic Snapback,ALL,ONE SIZE, $	10.52 ,
6210,FLEXFIT,Premium 210 Fitted Cap,ALL,S/M-L/XL, $	12.86 ,
6277,Flexfit®, Wooly 6-Panel Cap,ALL,S/M-L/XL, $	14.14 ,
6377,FLEXFIT,Brushed Twill Cap,ALL,S/M-L/XL, $	11.36 ,
6405,COLOR IMAGE APPAREL - BELLA,Missy Relaxed Jersey Short-Sleeve V-Neck T-Shirt,COLORS,S-XL, $	19.14 ,
6405,COLOR IMAGE APPAREL - BELLA,Missy Relaxed Jersey Short-Sleeve V-Neck T-Shirt,COLORS,2XL, $	23.42 ,
6405,COLOR IMAGE APPAREL - BELLA,Missy Relaxed Jersey Short-Sleeve V-Neck T-Shirt,WHITE,S-XL, $	19.14 ,
6405,COLOR IMAGE APPAREL - BELLA,Missy Relaxed Jersey Short-Sleeve V-Neck T-Shirt,WHITE,2XL, $	23.42 ,
6456,American Apparel,Unisex Sheer Jersey Short-Sleeve Deep V-Neck,COLORS,XXS-XL, $	18.10 ,
6456,American Apparel,Unisex Sheer Jersey Short-Sleeve Deep V-Neck,NEUTRALS,XXS-XL, $	16.12 ,
6477,Flexfit®, Wooly Blend 6-Panel Cap,ALL,S/M-L/XL, $	15.84 ,
6511,Flexfit®, 6-Panel Trucker Cap,ALL,ONE SIZE, $	11.20 ,
6777,Flexfit®, Athletic Mesh Cap,ALL,ONE SIZE, $	13.44 ,
7033,DRI-DUCK,Men's DRI DUCK Crossfire,ALL,S-XL, $	73.98 ,
7033,DRI-DUCK,Men's DRI DUCK Crossfire,ALL,2XL, $	78.08 ,
7033,DRI-DUCK,Men's DRI DUCK Crossfire,ALL,3XL, $	82.20 ,
7033,DRI-DUCK,Men's DRI DUCK Crossfire,ALL,4XL, $	86.30 ,
7501,COLOR IMAGE APPAREL - BELLA,Ladies' Sponge Fleece Wide Neck Sweatshirt,COLORS,S-XL, $	47.58 ,
7501,COLOR IMAGE APPAREL - BELLA,Ladies' Sponge Fleece Wide Neck Sweatshirt,COLORS,2XL, $	58.74 ,
