STYLE,BRAND,DESCRIPTION,GROUP,SIZE,NET
3480,CANVAS,Unisex Jersey Tank,TRIBLENDS,2XL, $	11.29
3480,CANVAS,Unisex Jersey Tank,NEON,XS-XL, $	8.26
3480,CANVAS,Unisex Jersey Tank,NEON,2XL, $	10.41
3480,CANVAS,Unisex Jersey Tank,WHITE,XS-XL, $	6.67
3480,CANVAS,Unisex Jersey Tank,WHITE,2XL, $	8.82
3500,CANVAS,Men's Thermal Long-Sleeve T-Shirt,ALL,S-XL, $	17.23
3500,CANVAS,Men's Thermal Long-Sleeve T-Shirt,ALL,2XL, $	21.52
3501,CANVAS,Men's Jersey Long-Sleeve T-Shirt,COLORS,S-XL, $	10.90
3501,CANVAS,Men's Jersey Long-Sleeve T-Shirt,COLORS,2XL, $	13.69
3501,CANVAS,Men's Jersey Long-Sleeve T-Shirt,TRIBLENDS,S-XL, $	12.51
3501,CANVAS,Men's Jersey Long-Sleeve T-Shirt,TRIBLENDS,2XL, $	15.08
3501,CANVAS,Men's Jersey Long-Sleeve T-Shirt,WHITE,S-XL, $	10.17
3501,CANVAS,Men's Jersey Long-Sleeve T-Shirt,WHITE,2XL, $	12.96
3512,CANVAS,Unisex Jersey Long-Sleeve Hoodie,COLORS,XS-XL, $	18.88
3512,CANVAS,Unisex Jersey Long-Sleeve Hoodie,COLORS,2XL, $	23.17
3512,CANVAS,Unisex Jersey Long-Sleeve Hoodie,WHITE,XS-XL, $	18.88
3512,CANVAS,Unisex Jersey Long-Sleeve Hoodie,WHITE,2XL, $	23.17
3650,CANVAS,Unisex Poly-Cotton Short-Sleeve T-Shirt,COLORS,XS-XL, $	8.41
3650,CANVAS,Unisex Poly-Cotton Short-Sleeve T-Shirt,COLORS,2XL, $	11.20
3650,CANVAS,Unisex Poly-Cotton Short-Sleeve T-Shirt,NEON,XS-XL, $	9.14
3650,CANVAS,Unisex Poly-Cotton Short-Sleeve T-Shirt,NEON,2XL, $	11.93
3650,CANVAS,Unisex Poly-Cotton Short-Sleeve T-Shirt,WHITE,XS-XL, $	7.53
3650,CANVAS,Unisex Poly-Cotton Short-Sleeve T-Shirt,WHITE,2XL, $	10.32
3665,CODE V,Ladies' Fine Jersey Camouflage T-Shirt,ALL,S-XL, $	12.29
3665,CODE V,Ladies' Fine Jersey Camouflage T-Shirt,ALL,2XL, $	13.90
3719,BELLA + CANVAS,Unisex Poly-Cotton Fleece Pullover Hoodie,COLORS,XS-XL, $	25.51
